Enzyme 	KO 	D 	C 	B 	A 	
W01A11.2 hypothetical protein	K14457 2-acylglycerol O-acyltransferase 2 [EC:2.3.1.22] 	2.3.1.22  2-acylglycerol O-acyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
K07B1.4 hypothetical protein	K14458 2-acylglycerol O-acyltransferase 1 [EC:2.3.1.22] 	2.3.1.22  2-acylglycerol O-acyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
R155.1 hypothetical protein	K13515 lysophospholipid acyltransferase 5 [EC:2.3.1.23 2.3.1.-] 	2.3.1.23  1-acylglycerophosphocholine O-acyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
K02G10.6 hyl-2; Homolog of Yeast Longevity gene family member (hyl-2)	K04710 ceramide synthetase [EC:2.3.1.24] 	2.3.1.24  sphingosine N-acyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
Y6B3B.10 lagr-1; LAG1 (yeast Longevity-Assurance Gene) Related family member (lagr-1)	K04710 ceramide synthetase [EC:2.3.1.24] 	2.3.1.24  sphingosine N-acyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
C09G4.1 hyl-1; Homolog of Yeast Longevity gene family member (hyl-1)	K04710 ceramide synthetase [EC:2.3.1.24] 	2.3.1.24  sphingosine N-acyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
B0395.2 hypothetical protein	K00637 sterol O-acyltransferase [EC:2.3.1.26] 	2.3.1.26  sterol O-acyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
T25B9.1 hypothetical protein	K00639 glycine C-acetyltransferase [EC:2.3.1.29] 	2.3.1.29  glycine C-acetyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
Y46G5A.21 acl-7; ACyLtransferase-like family member (acl-7)	K00649 glyceronephosphate O-acyltransferase [EC:2.3.1.42] 	2.3.1.42  glycerone-phosphate O-acyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
R10E11.1 cbp-1; CBP/p300 homolog family member (cbp-1)	K04498 E1A/CREB-binding protein [EC:2.3.1.48] 	2.3.1.48  histone acetyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
Y47G6A.6 pcaf-1; P300/CBP Associated Factor homolog family member (pcaf-1)	K06062 histone acetyltransferase [EC:2.3.1.48] 	2.3.1.48  histone acetyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
ZK863.3 elpc-3; ELongator complex Protein Component family member (elpc-3)	K07739 elongator complex protein 3 [EC:2.3.1.48] 	2.3.1.48  histone acetyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
M03C11.4 tag-235; Temporarily Assigned Gene name family member (tag-235)	K11303 histone acetyltransferase 1 [EC:2.3.1.48] 	2.3.1.48  histone acetyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
VC5.4 mys-1; MYST family histone acetyltransferase-like family member (mys-1)	K11304 histone acetyltransferase HTATIP [EC:2.3.1.48] 	2.3.1.48  histone acetyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
K03D10.3 mys-2; MYST family histone acetyltransferase-like family member (mys-2)	K11308 histone acetyltransferase MYST1 [EC:2.3.1.48] 	2.3.1.48  histone acetyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
T22G5.5 sptl-3; Serine Palmitoyl Transferase famiLy family member (sptl-3)	K00654 serine palmitoyltransferase [EC:2.3.1.50] 	2.3.1.50  serine C-palmitoyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
F43H9.2 sptl-2; Serine Palmitoyl Transferase famiLy family member (sptl-2)	K00654 serine palmitoyltransferase [EC:2.3.1.50] 	2.3.1.50  serine C-palmitoyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
F59F4.4 acl-1; ACyLtransferase-like family member (acl-1)	K13509 lysophosphatidate acyltransferase [EC:2.3.1.51] 	2.3.1.51  1-acylglycerol-3-phosphate O-acyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
T06E8.1 acl-2; ACyLtransferase-like family member (acl-2)	K13509 lysophosphatidate acyltransferase [EC:2.3.1.51] 	2.3.1.51  1-acylglycerol-3-phosphate O-acyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
T05H4.1 acl-8; ACyLtransferase-like family member (acl-8)	K13513 lysocardiolipin and lysophospholipid acyltransferase [EC:2.3.1.- 2.3.1.51] 	2.3.1.51  1-acylglycerol-3-phosphate O-acyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
ZK40.1 acl-9; ACyLtransferase-like family member (acl-9)	K13513 lysocardiolipin and lysophospholipid acyltransferase [EC:2.3.1.- 2.3.1.51] 	2.3.1.51  1-acylglycerol-3-phosphate O-acyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
C54G7.2 hypothetical protein	K13517 lysophospholipid acyltransferase 1/2 [EC:2.3.1.51 2.3.1.-] 	2.3.1.51  1-acylglycerol-3-phosphate O-acyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
W02F12.5 hypothetical protein	K00658 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61] 	2.3.1.61  dihydrolipoyllysine-residue succinyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
H19N07.4 hypothetical protein	K11155 diacylglycerol O-acyltransferase 1 [EC:2.3.1.20 2.3.1.75 2.3.1.76] 	2.3.1.75  long-chain-alcohol O-fatty-acyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
H19N07.4 hypothetical protein	K11155 diacylglycerol O-acyltransferase 1 [EC:2.3.1.20 2.3.1.75 2.3.1.76] 	2.3.1.76  retinol O-fatty-acyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
F32H2.5 fasn-1; Fatty Acid SyNthase family member (fasn-1)	K00665 fatty acid synthase, animal type [EC:2.3.1.85] 	2.3.1.85  fatty-acid synthase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
B0238.10 hypothetical protein	K00670 peptide alpha-N-acetyltransferase [EC:2.3.1.88] 	2.3.1.88  peptide alpha-N-acetyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
K07H8.3 hypothetical protein	K00670 peptide alpha-N-acetyltransferase [EC:2.3.1.88] 	2.3.1.88  peptide alpha-N-acetyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
Y50D7A.4 hypothetical protein	K00670 peptide alpha-N-acetyltransferase [EC:2.3.1.88] 	2.3.1.88  peptide alpha-N-acetyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
Y97E10AL.3 hypothetical protein	K00670 peptide alpha-N-acetyltransferase [EC:2.3.1.88] 	2.3.1.88  peptide alpha-N-acetyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
T17E9.2 nmt-1; N-Myristoyl Transferase homolog family member (nmt-1)	K00671 glycylpeptide N-tetradecanoyltransferase [EC:2.3.1.97] 	2.3.1.97  glycylpeptide N-tetradecanoyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
T20B3.1 hypothetical protein	K05940 carnitine O-octanoyltransferase [EC:2.3.1.137] 	2.3.1.137  carnitine O-octanoyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
ZK669.4 hypothetical protein	K09699 2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168] 	2.3.1.168  dihydrolipoyllysine-residue (2-methylpropanoyl)transferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
Y57A10C.6 hypothetical protein	K08764 sterol carrier protein 2 [EC:2.3.1.176] 	2.3.1.176  propanoyl-CoA C-acyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
F10G8.9 hypothetical protein	K09458 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179] 	2.3.1.179  beta-ketoacyl-acyl-carrier-protein synthase II 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
T26C5.3 hypothetical protein	K03372 MFS transporter, PAT family, solute carrier family 33 (acetyl-CoA transportor), member 1 [EC:2.3.1.-] 	2.3.1.- 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
F08F8.4 hypothetical protein	K11268 N-acetyltransferase [EC:2.3.1.-] 	2.3.1.- 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
ZK809.2 acl-3; ACyLtransferase-like family member (acl-3)	K13511 monolysocardiolipin acyltransferase [EC:2.3.1.-] 	2.3.1.- 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
T05H4.1 acl-8; ACyLtransferase-like family member (acl-8)	K13513 lysocardiolipin and lysophospholipid acyltransferase [EC:2.3.1.- 2.3.1.51] 	2.3.1.- 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
ZK40.1 acl-9; ACyLtransferase-like family member (acl-9)	K13513 lysocardiolipin and lysophospholipid acyltransferase [EC:2.3.1.- 2.3.1.51] 	2.3.1.- 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
K07B1.5 acl-14; ACyLtransferase-like family member (acl-14)	K13514 lysophosphatidylglycerol acyltransferase 1 [EC:2.3.1.-] 	2.3.1.- 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
R155.1 hypothetical protein	K13515 lysophospholipid acyltransferase 5 [EC:2.3.1.23 2.3.1.-] 	2.3.1.- 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
F14F3.3 tag-289; Temporarily Assigned Gene name family member (tag-289)	K13516 lysophospholipid acyltransferase 7 [EC:2.3.1.-] 	2.3.1.- 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
C54G7.2 hypothetical protein	K13517 lysophospholipid acyltransferase 1/2 [EC:2.3.1.51 2.3.1.-] 	2.3.1.- 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
F55A12.8 hypothetical protein	K14521 N-acetyltransferase 10 [EC:2.3.1.-] 	2.3.1.- 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
T03D8.6 hypothetical protein	K00681 gamma-glutamyltranspeptidase [EC:2.3.2.2] 	2.3.2.2  gamma-glutamyltransferase 	2.3.2  Aminoacyltransferases 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
Y7A9A.1 hypothetical protein	K00681 gamma-glutamyltranspeptidase [EC:2.3.2.2] 	2.3.2.2  gamma-glutamyltransferase 	2.3.2  Aminoacyltransferases 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
C53D5.5 hypothetical protein	K00681 gamma-glutamyltranspeptidase [EC:2.3.2.2] 	2.3.2.2  gamma-glutamyltransferase 	2.3.2  Aminoacyltransferases 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
C44B7.7 hypothetical protein	K00682 gamma-glutamylcyclotransferase [EC:2.3.2.4] 	2.3.2.4  gamma-glutamylcyclotransferase 	2.3.2  Aminoacyltransferases 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
H27A22.1 hypothetical protein	K00683 glutaminyl-peptide cyclotransferase [EC:2.3.2.5] 	2.3.2.5  glutaminyl-peptide cyclotransferase 	2.3.2  Aminoacyltransferases 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
K07A1.9 hypothetical protein	K00685 arginine-tRNA-protein transferase [EC:2.3.2.8] 	2.3.2.8  arginyltransferase 	2.3.2  Aminoacyltransferases 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
F54D5.1 pcs-1; PhytoChelatin Synthase family member (pcs-1)	K05941 glutathione gamma-glutamylcysteinyltransferase [EC:2.3.2.15] 	2.3.2.15  glutathione gamma-glutamylcysteinyltransferase 	2.3.2  Aminoacyltransferases 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
T20G5.2 cts-1; CiTrate Synthase family member (cts-1)	K01647 citrate synthase [EC:2.3.3.1] 	2.3.3.1  citrate (Si)-synthase 	2.3.3  Acyl groups converted into alkyl groups on transfer 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
B0365.1 hypothetical protein	K01648 ATP citrate (pro-S)-lyase [EC:2.3.3.8] 	2.3.3.8  ATP citrate synthase 	2.3.3  Acyl groups converted into alkyl groups on transfer 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
D1005.1 hypothetical protein	K01648 ATP citrate (pro-S)-lyase [EC:2.3.3.8] 	2.3.3.8  ATP citrate synthase 	2.3.3  Acyl groups converted into alkyl groups on transfer 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
F25B4.6 hypothetical protein	K01641 hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10] 	2.3.3.10  hydroxymethylglutaryl-CoA synthase 	2.3.3  Acyl groups converted into alkyl groups on transfer 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
T22F3.3 hypothetical protein	K00688 starch phosphorylase [EC:2.4.1.1] 	2.4.1.1  phosphorylase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
Y46G5A.31 gsy-1; Glycogen SYnthase family member (gsy-1)	K00693 glycogen(starch) synthase [EC:2.4.1.11] 	2.4.1.11  glycogen(starch) synthase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
F48A11.1 chs-2; CHitin Synthase family member (chs-2)	K00698 chitin synthase [EC:2.4.1.16] 	2.4.1.16  chitin synthase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
T25G3.2 chs-1; CHitin Synthase family member (chs-1)	K00698 chitin synthase [EC:2.4.1.16] 	2.4.1.16  chitin synthase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
B0310.5 ugt-46; UDP-GlucuronosylTransferase family member (ugt-46)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	2.4.1.17  glucuronosyltransferase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
T04H1.7 ugt-55; UDP-GlucuronosylTransferase family member (ugt-55)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	2.4.1.17  glucuronosyltransferase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
T04H1.8 ugt-56; UDP-GlucuronosylTransferase family member (ugt-56)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	2.4.1.17  glucuronosyltransferase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
F35H8.6 ugt-58; UDP-GlucuronosylTransferase family member (ugt-58)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	2.4.1.17  glucuronosyltransferase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
C18C4.3 ugt-48; UDP-GlucuronosylTransferase family member (ugt-48)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	2.4.1.17  glucuronosyltransferase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
T07C5.1 ugt-50; UDP-GlucuronosylTransferase family member (ugt-50)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	2.4.1.17  glucuronosyltransferase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
F39G3.1 ugt-61; UDP-GlucuronosylTransferase family member (ugt-61)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	2.4.1.17  glucuronosyltransferase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
M88.1 ugt-62; UDP-GlucuronosylTransferase family member (ugt-62)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	2.4.1.17  glucuronosyltransferase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
C17G1.3 ugt-23; UDP-GlucuronosylTransferase family member (ugt-23)	K00699 glucuronosyltransferase [EC:2.4.1.17] 	2.4.1.17  glucuronosyltransferase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
T04A8.7 hypothetical protein	K00700 1,4-alpha-glucan branching enzyme [EC:2.4.1.18] 	2.4.1.18  1,4-alpha-glucan branching enzyme 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
R06A4.8 hypothetical protein	K01196 glycogen debranching enzyme [EC:2.4.1.25 3.2.1.33] 	2.4.1.25  4-alpha-glucanotransferase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
Y73E7A.7 bre-4; BT (Bacillus thuringiensis) toxin REsistant family member (bre-4)	K07968 beta-1,4-galactosyltransferase 3 [EC:2.4.1.90 2.4.1.38 2.4.1.-] 	2.4.1.38  beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
ZK688.8 gly-3; GLYcosylation related family member (gly-3)	K00710 polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41] 	2.4.1.41  polypeptide N-acetylgalactosaminyltransferase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
Y46H3A.6 gly-7; GLYcosylation related family member (gly-7)	K00710 polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41] 	2.4.1.41  polypeptide N-acetylgalactosaminyltransferase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
Y45F10D.3 gly-10; GLYcosylation related family member (gly-10)	K00710 polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41] 	2.4.1.41  polypeptide N-acetylgalactosaminyltransferase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
Y116F11B.12 gly-4; GLYcosylation related family member (gly-4)	K00710 polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41] 	2.4.1.41  polypeptide N-acetylgalactosaminyltransferase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
Y39E4B.12 gly-5; GLYcosylation related family member (gly-5)	K00710 polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41] 	2.4.1.41  polypeptide N-acetylgalactosaminyltransferase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
C10F3.6 fut-8; FUcosyl Transferase family member (fut-8)	K00717 glycoprotein 6-alpha-L-fucosyltransferase [EC:2.4.1.68] 	2.4.1.68  glycoprotein 6-alpha-L-fucosyltransferase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
F59G1.1 cgt-3; Ceramide Glucosyl Transferase family member (cgt-3)	K00720 ceramide glucosyltransferase [EC:2.4.1.80] 	2.4.1.80  ceramide glucosyltransferase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
Y66H1A.2 dpm-1; Dolichol Phosphate Mannosyltransferase family member (dpm-1)	K00721 dolichol-phosphate mannosyltransferase [EC:2.4.1.83] 	2.4.1.83  dolichyl-phosphate beta-D-mannosyltransferase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
Y73E7A.7 bre-4; BT (Bacillus thuringiensis) toxin REsistant family member (bre-4)	K07968 beta-1,4-galactosyltransferase 3 [EC:2.4.1.90 2.4.1.38 2.4.1.-] 	2.4.1.90  N-acetyllactosamine synthase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
B0416.6 gly-13; GLYcosylation related family member (gly-13)	K00726 alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.101] 	2.4.1.101  alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
M01F1.1 gly-14; GLYcosylation related family member (gly-14)	K00726 alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.101] 	2.4.1.101  alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase 	2.4.1  Hexosyltransferases 	2.4  Glycosyltransferases 	<b>2. Transferases</b> 	
