GENES 	KO 	C 	B 	A 	
F01F1.6 alh-9; ALdehyde deHydrogenase family member (alh-9)	K14085 aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3] 	00410 beta-Alanine metabolism [PATH:cel00410] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
Y69F12A.2 alh-12; ALdehyde deHydrogenase family member (alh-12)	K00149 aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3] 	00410 beta-Alanine metabolism [PATH:cel00410] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
T08B1.3 alh-5; ALdehyde deHydrogenase family member (alh-5)	K00129 aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5] 	00410 beta-Alanine metabolism [PATH:cel00410] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
C25F6.3 dpyd-1; DihydroPYrimidine Dehydrogenase family member (dpyd-1)	K00207 dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2] 	00410 beta-Alanine metabolism [PATH:cel00410] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
C47E12.8 dhp-2; DiHydroPyrimidinase family member (dhp-2)	K01464 dihydropyrimidinase [EC:3.5.2.2] 	00410 beta-Alanine metabolism [PATH:cel00410] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
F13H8.7 hypothetical protein	K01431 beta-ureidopropionase [EC:3.5.1.6] 	00410 beta-Alanine metabolism [PATH:cel00410] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
F09F7.4 hypothetical protein	K05605 3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4] 	00410 beta-Alanine metabolism [PATH:cel00410] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
T08B2.7 hypothetical protein	K07515 enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.211] 	00410 beta-Alanine metabolism [PATH:cel00410] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
C29F3.1 ech-1; Enoyl-CoA Hydratase family member (ech-1)	K07515 enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.211] 	00410 beta-Alanine metabolism [PATH:cel00410] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
T05G5.6 ech-6; Enoyl-CoA Hydratase family member (ech-6)	K07511 enoyl-CoA hydratase [EC:4.2.1.17] 	00410 beta-Alanine metabolism [PATH:cel00410] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
T25G12.5 acdh-7; Acyl CoA DeHydrogenase family member (acdh-7)	K00249 acyl-CoA dehydrogenase [EC:1.3.99.3] 	00410 beta-Alanine metabolism [PATH:cel00410] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
K05F1.3 acdh-8; Acyl CoA DeHydrogenase family member (acdh-8)	K00249 acyl-CoA dehydrogenase [EC:1.3.99.3] 	00410 beta-Alanine metabolism [PATH:cel00410] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
K09H11.1 hypothetical protein	K00249 acyl-CoA dehydrogenase [EC:1.3.99.3] 	00410 beta-Alanine metabolism [PATH:cel00410] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
T08G2.3 acdh-10; Acyl CoA DeHydrogenase family member (acdh-10)	K00249 acyl-CoA dehydrogenase [EC:1.3.99.3] 	00410 beta-Alanine metabolism [PATH:cel00410] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
F35G12.1 mlcd-1; MaLonyl CoA Decarboxylase family member (mlcd-1)	K01578 malonyl-CoA decarboxylase [EC:4.1.1.9] 	00410 beta-Alanine metabolism [PATH:cel00410] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
F13D12.4 alh-8; ALdehyde deHydrogenase family member (alh-8)	K00140 malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27] 	00410 beta-Alanine metabolism [PATH:cel00410] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
F56F10.3 hypothetical protein	K00456 cysteine dioxygenase [EC:1.13.11.20] 	00430 Taurine and hypotaurine metabolism [PATH:cel00430] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
Y37D8A.23 unc-25; UNCoordinated family member (unc-25)	K01580 glutamate decarboxylase [EC:4.1.1.15] 	00430 Taurine and hypotaurine metabolism [PATH:cel00430] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
T03D8.6 hypothetical protein	K00681 gamma-glutamyltranspeptidase [EC:2.3.2.2] 	00430 Taurine and hypotaurine metabolism [PATH:cel00430] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
Y7A9A.1 hypothetical protein	K00681 gamma-glutamyltranspeptidase [EC:2.3.2.2] 	00430 Taurine and hypotaurine metabolism [PATH:cel00430] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
C53D5.5 hypothetical protein	K00681 gamma-glutamyltranspeptidase [EC:2.3.2.2] 	00430 Taurine and hypotaurine metabolism [PATH:cel00430] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
R03D7.1 hypothetical protein	K00548 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13] 	00450 Selenocompound metabolism [PATH:cel00450] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
C12C8.2 hypothetical protein	K01758 cystathionine gamma-lyase [EC:4.4.1.1] 	00450 Selenocompound metabolism [PATH:cel00450] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
ZK1127.10 hypothetical protein	K01758 cystathionine gamma-lyase [EC:4.4.1.1] 	00450 Selenocompound metabolism [PATH:cel00450] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
F22B8.6 hypothetical protein	K01758 cystathionine gamma-lyase [EC:4.4.1.1] 	00450 Selenocompound metabolism [PATH:cel00450] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
F13H8.9 hypothetical protein	K01763 selenocysteine lyase [EC:4.4.1.16] 	00450 Selenocompound metabolism [PATH:cel00450] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
R03A10.4 nkat-3; Nematode Kynurenine AminoTransferase family member (nkat-3)	K00816 kynurenine---oxoglutarate transaminase / cysteine-S-conjugate beta-lyase / glutamine---phenylpyruvate transaminase [EC:2.6.1.7 4.4.1.13 2.6.1.64] 	00450 Selenocompound metabolism [PATH:cel00450] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
C06G3.7 trxr-1; ThioRedoXin Reductase family member (trxr-1)	K00384 thioredoxin reductase (NADPH) [EC:1.8.1.9] 	00450 Selenocompound metabolism [PATH:cel00450] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
T14G10.1 pps-1; 3'-Phosphoadenosine 5'-Phosphosulfate Synthetase family member (pps-1)	K13811 3'-phosphoadenosine 5'-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25] 	00450 Selenocompound metabolism [PATH:cel00450] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
Y45F10A.4 seld-1; SELD (SelD homolog) involved in selenophosphate synthesis family member (seld-1)	K01008 selenide, water dikinase [EC:2.7.9.3] 	00450 Selenocompound metabolism [PATH:cel00450] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
D1054.13 secs-1; SEC(selenocysteine)-tRNA Synthase family member (secs-1)	K03341 O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase [EC:2.9.1.2] 	00450 Selenocompound metabolism [PATH:cel00450] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
F58B3.5 mrs-1; Methionyl tRNA Synthetase family member (mrs-1)	K01874 methionyl-tRNA synthetase [EC:6.1.1.10] 	00450 Selenocompound metabolism [PATH:cel00450] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
Y105E8A.20 hypothetical protein	K01874 methionyl-tRNA synthetase [EC:6.1.1.10] 	00450 Selenocompound metabolism [PATH:cel00450] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
ZK1058.6 nit-1; NITrilase family member (nit-1)	K01501 nitrilase [EC:3.5.5.1] 	00460 Cyanoamino acid metabolism [PATH:cel00460] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
C50F7.10 hypothetical protein	K05350 beta-glucosidase [EC:3.2.1.21] 	00460 Cyanoamino acid metabolism [PATH:cel00460] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
T03D8.6 hypothetical protein	K00681 gamma-glutamyltranspeptidase [EC:2.3.2.2] 	00460 Cyanoamino acid metabolism [PATH:cel00460] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
Y7A9A.1 hypothetical protein	K00681 gamma-glutamyltranspeptidase [EC:2.3.2.2] 	00460 Cyanoamino acid metabolism [PATH:cel00460] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
C53D5.5 hypothetical protein	K00681 gamma-glutamyltranspeptidase [EC:2.3.2.2] 	00460 Cyanoamino acid metabolism [PATH:cel00460] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
C05D11.11 mel-32; Maternal Effect Lethal family member (mel-32)	K00600 glycine hydroxymethyltransferase [EC:2.1.2.1] 	00460 Cyanoamino acid metabolism [PATH:cel00460] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
DH11.1 hypothetical protein	K01425 glutaminase [EC:3.5.1.2] 	00471 D-Glutamine and D-glutamate metabolism [PATH:cel00471] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
F30F8.2 hypothetical protein	K01425 glutaminase [EC:3.5.1.2] 	00471 D-Glutamine and D-glutamate metabolism [PATH:cel00471] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
C09F9.3 hypothetical protein	K01425 glutaminase [EC:3.5.1.2] 	00471 D-Glutamine and D-glutamate metabolism [PATH:cel00471] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
ZK829.4 hypothetical protein	K00261 glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3] 	00471 D-Glutamine and D-glutamate metabolism [PATH:cel00471] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
Y69A2AR.5 hypothetical protein	K00273 D-amino-acid oxidase [EC:1.4.3.3] 	00472 D-Arginine and D-ornithine metabolism [PATH:cel00472] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
T03D8.6 hypothetical protein	K00681 gamma-glutamyltranspeptidase [EC:2.3.2.2] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
Y7A9A.1 hypothetical protein	K00681 gamma-glutamyltranspeptidase [EC:2.3.2.2] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
C53D5.5 hypothetical protein	K00681 gamma-glutamyltranspeptidase [EC:2.3.2.2] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
C44B7.7 hypothetical protein	K00682 gamma-glutamylcyclotransferase [EC:2.3.2.4] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
Y38F2AR.12 hypothetical protein	K01469 5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
F37B12.2 gcs-1; gamma GlutamylCysteine Synthetase family member (gcs-1)	K11204 glutamate--cysteine ligase catalytic subunit [EC:6.3.2.2] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
E01A2.1 hypothetical protein	K11205 glutamate--cysteine ligase regulatory subunit 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
M176.2 hypothetical protein	K01920 glutathione synthase [EC:6.3.2.3] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
W07G4.4 hypothetical protein	K01255 leucyl aminopeptidase [EC:3.4.11.1] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
ZK353.6 lap-1; Leucine AminoPeptidase family member (lap-1)	K01255 leucyl aminopeptidase [EC:3.4.11.1] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
F11G11.3 gst-6; Glutathione S-Transferase family member (gst-6)	K00799 glutathione S-transferase [EC:2.5.1.18] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
R03D7.6 gst-5; Glutathione S-Transferase family member (gst-5)	K00799 glutathione S-transferase [EC:2.5.1.18] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
R07B1.4 gst-36; Glutathione S-Transferase family member (gst-36)	K00799 glutathione S-transferase [EC:2.5.1.18] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
R107.7 gst-1; Glutathione S-Transferase family member (gst-1)	K00799 glutathione S-transferase [EC:2.5.1.18] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
ZK546.11 gst-30; Glutathione S-Transferase family member (gst-30)	K00799 glutathione S-transferase [EC:2.5.1.18] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
F11G11.1 gst-8; Glutathione S-Transferase family member (gst-8)	K00799 glutathione S-transferase [EC:2.5.1.18] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
F11G11.2 gst-7; Glutathione S-Transferase family member (gst-7)	K00799 glutathione S-transferase [EC:2.5.1.18] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
F35E8.8 gst-38; Glutathione S-Transferase family member (gst-38)	K00799 glutathione S-transferase [EC:2.5.1.18] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
K08F4.7 gst-4; Glutathione S-Transferase family member (gst-4)	K00799 glutathione S-transferase [EC:2.5.1.18] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
K08F4.6 gst-2; Glutathione S-Transferase family member (gst-2)	K00799 glutathione S-transferase [EC:2.5.1.18] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
K08F4.11 gst-3; Glutathione S-Transferase family member (gst-3)	K00799 glutathione S-transferase [EC:2.5.1.18] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
Y45G12C.2 gst-10; Glutathione S-Transferase family member (gst-10)	K00799 glutathione S-transferase [EC:2.5.1.18] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
C29E4.7 gsto-1; Glutathione S-Transferase, Omega class family member (gsto-1)	K00799 glutathione S-transferase [EC:2.5.1.18] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
ZK1320.1 gstk-1; Glutathione S-Transferase Kappa protein family member (gstk-1)	K13299 glutathione S-transferase kappa 1 [EC:2.5.1.18] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
ZK637.10 trxr-2; ThioRedoXin Reductase family member (trxr-2)	K00383 glutathione reductase (NADPH) [EC:1.8.1.7] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
C34F6.8 hypothetical protein	K00031 isocitrate dehydrogenase [EC:1.1.1.42] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
F59B8.2 hypothetical protein	K00031 isocitrate dehydrogenase [EC:1.1.1.42] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
T25B9.9 hypothetical protein	K00033 6-phosphogluconate dehydrogenase [EC:1.1.1.44] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
B0035.5 glucose-6-phosphate-1-dehydrogenase	K00036 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
C11E4.1 hypothetical protein	K00432 glutathione peroxidase [EC:1.11.1.9] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
C11E4.2 hypothetical protein	K00432 glutathione peroxidase [EC:1.11.1.9] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
R03G5.5 hypothetical protein	K00432 glutathione peroxidase [EC:1.11.1.9] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
R05H10.5 hypothetical protein	K00432 glutathione peroxidase [EC:1.11.1.9] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
F26E4.12 hypothetical protein	K00432 glutathione peroxidase [EC:1.11.1.9] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
K11C4.4 odc-1; Ornithine DeCarboxylase family member (odc-1)	K01581 ornithine decarboxylase [EC:4.1.1.17] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
Y46G5A.19 hypothetical protein	K00797 spermidine synthase [EC:2.5.1.16] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
T23G5.1 rnr-1; RiboNucleotide Reductase family member (rnr-1)	K10807 ribonucleoside-diphosphate reductase subunit M1 [EC:1.17.4.1] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
C03C10.3 rnr-2; RiboNucleotide Reductase family member (rnr-2)	K10808 ribonucleoside-diphosphate reductase subunit M2 [EC:1.17.4.1] 	00480 Glutathione metabolism [PATH:cel00480] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
Y60A3A.14 hypothetical protein	K01001 UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase [EC:2.7.8.15] 	00510 N-Glycan biosynthesis [PATH:cel00510] 	<b>Glycan Biosynthesis and Metabolism</b> 	<b>Metabolism</b> 	
H43I07.3 hypothetical protein	K00729 dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117] 	00510 N-Glycan biosynthesis [PATH:cel00510] 	<b>Glycan Biosynthesis and Metabolism</b> 	<b>Metabolism</b> 	
R10D12.12 hypothetical protein	K07432 beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141] 	00510 N-Glycan biosynthesis [PATH:cel00510] 	<b>Glycan Biosynthesis and Metabolism</b> 	<b>Metabolism</b> 	
M02B7.4 hypothetical protein	K07441 beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141] 	00510 N-Glycan biosynthesis [PATH:cel00510] 	<b>Glycan Biosynthesis and Metabolism</b> 	<b>Metabolism</b> 	
Y66H1A.2 dpm-1; Dolichol Phosphate Mannosyltransferase family member (dpm-1)	K00721 dolichol-phosphate mannosyltransferase [EC:2.4.1.83] 	00510 N-Glycan biosynthesis [PATH:cel00510] 	<b>Glycan Biosynthesis and Metabolism</b> 	<b>Metabolism</b> 	
F28D1.11 dpm-3; Dolichol Phosphate Mannosyltransferase family member (dpm-3)	K09659 dolichyl-phosphate mannosyltransferase polypeptide 3 	00510 N-Glycan biosynthesis [PATH:cel00510] 	<b>Glycan Biosynthesis and Metabolism</b> 	<b>Metabolism</b> 	
T26A5.4 hypothetical protein	K03842 beta-1,4-mannosyltransferase [EC:2.4.1.142] 	00510 N-Glycan biosynthesis [PATH:cel00510] 	<b>Glycan Biosynthesis and Metabolism</b> 	<b>Metabolism</b> 	
F09E5.2 hypothetical protein	K03843 alpha-1,3/alpha-1,6-mannosyltransferase [EC:2.4.1.132 2.4.1.257] 	00510 N-Glycan biosynthesis [PATH:cel00510] 	<b>Glycan Biosynthesis and Metabolism</b> 	<b>Metabolism</b> 	
B0361.8 hypothetical protein	K03844 alpha-1,2-mannosyltransferase [EC:2.4.1.-] 	00510 N-Glycan biosynthesis [PATH:cel00510] 	<b>Glycan Biosynthesis and Metabolism</b> 	<b>Metabolism</b> 	
ZK180.3 hypothetical protein	K06316 oligosaccharidyl-lipid flippase family 	00510 N-Glycan biosynthesis [PATH:cel00510] 	<b>Glycan Biosynthesis and Metabolism</b> 	<b>Metabolism</b> 	
K09E4.2 hypothetical protein	K03845 alpha-1,3-mannosyltransferase [EC:2.4.1.258] 	00510 N-Glycan biosynthesis [PATH:cel00510] 	<b>Glycan Biosynthesis and Metabolism</b> 	<b>Metabolism</b> 	
C14A4.3 hypothetical protein	K03846 alpha-1,2-mannosyltransferase [EC:2.4.1.259 2.4.1.261] 	00510 N-Glycan biosynthesis [PATH:cel00510] 	<b>Glycan Biosynthesis and Metabolism</b> 	<b>Metabolism</b> 	
ZC513.5 hypothetical protein	K03847 alpha-1,6-mannosyltransferase [EC:2.4.1.260] 	00510 N-Glycan biosynthesis [PATH:cel00510] 	<b>Glycan Biosynthesis and Metabolism</b> 	<b>Metabolism</b> 	
C08B11.8 hypothetical protein	K03848 alpha-1,3-glucosyltransferase [EC:2.4.1.267] 	00510 N-Glycan biosynthesis [PATH:cel00510] 	<b>Glycan Biosynthesis and Metabolism</b> 	<b>Metabolism</b> 	
C08H9.3 hypothetical protein	K03849 alpha-1,3-glucosyltransferase [EC:2.4.1.265] 	00510 N-Glycan biosynthesis [PATH:cel00510] 	<b>Glycan Biosynthesis and Metabolism</b> 	<b>Metabolism</b> 	
T24D1.4 tag-179; Temporarily Assigned Gene name family member (tag-179)	K03850 alpha-1,2-glucosyltransferase [EC:2.4.1.256] 	00510 N-Glycan biosynthesis [PATH:cel00510] 	<b>Glycan Biosynthesis and Metabolism</b> 	<b>Metabolism</b> 	
T12A2.2 hypothetical protein	K07151 dolichyl-diphosphooligosaccharide--protein glycosyltransferase [EC:2.4.1.119] 	00510 N-Glycan biosynthesis [PATH:cel00510] 	<b>Glycan Biosynthesis and Metabolism</b> 	<b>Metabolism</b> 	
T22D1.4 hypothetical protein	K12666 oligosaccharyltransferase complex subunit alpha (ribophorin I) 	00510 N-Glycan biosynthesis [PATH:cel00510] 	<b>Glycan Biosynthesis and Metabolism</b> 	<b>Metabolism</b> 	
F57B10.10 dad-1; DAD (Defender against Apoptotic Death) homolog family member (dad-1)	K12668 oligosaccharyltransferase complex subunit epsilon 	00510 N-Glycan biosynthesis [PATH:cel00510] 	<b>Glycan Biosynthesis and Metabolism</b> 	<b>Metabolism</b> 	
ZK686.3 hypothetical protein	K12669 oligosaccharyltransferase complex subunit gamma 	00510 N-Glycan biosynthesis [PATH:cel00510] 	<b>Glycan Biosynthesis and Metabolism</b> 	<b>Metabolism</b> 	
T09A5.11 hypothetical protein	K12670 oligosaccharyltransferase complex subunit beta 	00510 N-Glycan biosynthesis [PATH:cel00510] 	<b>Glycan Biosynthesis and Metabolism</b> 	<b>Metabolism</b> 	
F13H10.4 hypothetical protein	K01228 mannosyl-oligosaccharide glucosidase [EC:3.2.1.106] 	00510 N-Glycan biosynthesis [PATH:cel00510] 	<b>Glycan Biosynthesis and Metabolism</b> 	<b>Metabolism</b> 	
